Tom_Mother@DFfgO.com, Tom, Mother,orange,white
Ward_Larry@28d.com, Ward, Larry,white,lightgreen
Fred_Wayne@Y6.com, Fred, Wayne,lightgreen,darkblue
Marge_Dickinson@IV7.com, Marge, Dickinson,darkred,lightgreen
Maggie_Johnson@rOU.org, Maggie, Johnson,grey,darkgreen
John_Thatcher@kIBGz.cc.ca.us, John, Thatcher,lightgreen,black
John_May@my.com, John, May,lightgreen,purple
Tom_Curlyfries@go.com, Tom, Curlyfries,orange,black
Lisa_Ward@Bv4.org, Lisa, Ward,brown,blue
Tom_Moore@v.com, Tom, Moore,yellow,grey
John_Ward@V.com, John, Ward,grey,blue
Marge_May@YU7.com, Marge, May,black,grey
Fred_May@RSb.com, Fred, May,lightblue,black
Angie_Moore@b0i.com, Angie, Moore,yellow,darkblue
Bruce_Tomberg@gIn.com, Bruce, Tomberg,lightblue,brown
Mary_Dickinson@2qn.com, Mary, Dickinson,lightyellow,white
Marge_May@hS.com, Marge, May,lightyellow,white
Mary_Johnson@D.com, Mary, Johnson,red,grey
Bob_Flinstone@dgXw.com, Bob, Flinstone,grey,lightgreen
Maggie_Wayne@P2g.com, Maggie, Wayne,blue,orange
Mary_Moore@XoSDr.com, Mary, Moore,yellow,lightyellow
John_Curlyfries@8.com, John, Curlyfries,purple,red
Barney_Simpson@BLR.com, Barney, Simpson,lightgreen,red
Sally_Mother@2aL7Z.cc.ca.us, Sally, Mother,purple,lightyellow
Susan_Wayne@Q.com, Susan, Wayne,brown,darkgreen
Curly_Wayne@2Hd.cc.ca.us, Curly, Wayne,pink,grey
Fred_Moore@xWqRA.com, Fred, Moore,grey,pink
Ward_Lucci@3.org, Ward, Lucci,darkgreen,black
Sally_Simpson@1Ii.com, Sally, Simpson,pink,lightgreen
Susan_Ward@txlE.com, Susan, Ward,lightyellow,orange
Ward_Curlyfries@Sw.com, Ward, Curlyfries,purple,darkgreen
Curly_Curlyfries@FzI.com, Curly, Curlyfries,red,orange
Ward_Lucci@j.com, Ward, Lucci,yellow,grey
Marge_Thatcher@rWB.com, Marge, Thatcher,green,purple
Bob_Flinstone@grh7.org, Bob, Flinstone,green,darkblue
Tom_Bobson@hktB.com, Tom, Bobson,black,blue
Bob_Wayne@Lh.org, Bob, Wayne,darkblue,purple
Bob_Johnson@l4v6A.com, Bob, Johnson,purple,lightblue
Bob_Thatcher@zPR.com, Bob, Thatcher,purple,pink
Bob_Moore@HXJ.com, Bob, Moore,yellow,black
Moe_Simpson@G.com, Moe, Simpson,yellow,orange
Mary_Struthers@3llf.com, Mary, Struthers,red,purple
Barney_Struthers@NA.com, Barney, Struthers,darkred,lightgreen
Angie_Struthers@HRc.cc.ca.us, Angie, Struthers,pink,white
Bob_Lucci@ORa.com, Bob, Lucci,yellow,darkgreen
Fred_Flinstone@4MTG.com, Fred, Flinstone,black,orange
Bob_Moore@66pX.gov, Bob, Moore,lightgreen,lightblue
Marge_Bobson@xvde.com, Marge, Bobson,white,yellow
John_Rubble@hg.cc.ca.us, John, Rubble,brown,purple
Curly_Lucci@K5.com, Curly, Lucci,lightblue,red
Bob_Larry@FO.com, Bob, Larry,red,darkred
Bob_Lucci@y.com, Bob, Lucci,pink,white
Larry_Mother@jz.cc.ca.us, Larry, Mother,lightblue,yellow
Moe_Flinstone@xE.com, Moe, Flinstone,green,orange
John_Struthers@JUH.com, John, Struthers,grey,lightyellow
Bruce_Simpson@a.com, Bruce, Simpson,purple,lightblue
Ward_Larry@LRV.com, Ward, Larry,green,grey
Angie_Moore@n.cc.ca.us, Angie, Moore,darkred,brown
Mary_Simpson@yc.com, Mary, Simpson,lightblue,yellow
Larry_Simpson@lEz.com, Larry, Simpson,black,orange
Lisa_May@q.com, Lisa, May,brown,white
John_Struthers@ut.com, John, Struthers,yellow,lightyellow
Larry_Lucci@iyL.com, Larry, Lucci,darkblue,lightblue
Lisa_Struthers@An5.com, Lisa, Struthers,darkblue,darkred
Susan_Bobson@HZV.com, Susan, Bobson,orange,pink
